-0.13,-9.81,-0.82,1.28,0.69,-1.19
-0.08,-9.92,-0.80,1.21,0.86,-1.18
-0.03,-9.84,-0.80,1.31,0.29,-1.21
-0.05,-9.82,-0.84,1.31,0.53,-1.19
0.03,-9.72,-0.89,1.25,0.60,-1.36
-0.03,-9.82,-0.88,1.31,0.54,-1.25
-0.14,-9.96,-0.81,1.36,0.44,-1.22
-0.07,-9.80,-0.70,1.24,0.30,-1.14
-0.12,-9.85,-0.52,1.25,-4.61,-1.08
-0.15,-9.84,-0.49,0.86,-9.79,-1.04
-0.07,-9.83,-0.56,0.75,-13.79,-1.12
-0.08,-9.80,-0.70,0.70,-17.40,-0.96
-0.08,-9.82,-0.63,0.37,-21.50,-1.05
-0.12,-9.76,-0.75,0.37,-24.79,-0.93
-0.12,-9.84,-0.65,0.22,-26.84,-0.94
-0.31,-9.67,-0.71,0.30,-28.17,-0.99
-0.10,-9.83,-0.67,0.24,-28.18,-1.01
-0.06,-9.84,-0.82,0.30,-28.28,-0.98
-0.08,-9.95,-0.85,0.08,-28.01,-1.04
-0.07,-9.81,-0.74,0.21,-28.06,-0.85
-0.09,-9.94,-0.77,0.03,-28.73,-0.85
-0.11,-9.84,-0.81,1.91,-28.63,-1.11
-0.09,-9.84,-0.62,0.05,-28.53,-1.00
-0.11,-9.78,-0.85,0.10,-28.34,-0.89
-0.06,-9.84,-0.87,0.16,-27.87,-0.97
-0.03,-9.80,-0.79,0.16,-27.01,-1.00
-0.11,-9.84,-0.91,0.15,-26.48,-0.90
-0.07,-9.84,-0.90,0.21,-25.54,-1.02
-0.08,-9.67,-0.85,0.31,-24.46,-1.07
-0.05,-9.83,-0.94,0.37,-23.02,-1.11
-0.07,-9.83,-0.87,0.44,-21.70,-0.98
-0.02,-9.86,-0.86,0.30,-20.26,-1.00
-0.02,-9.84,-0.85,0.52,-19.13,-1.00
-0.07,-9.82,-0.86,0.66,-17.79,-1.15
0.14,-9.81,-0.81,0.65,-16.44,-1.06
-0.05,-9.84,-0.81,0.61,-15.01,-0.95
0.13,-9.88,-0.87,0.66,-13.42,-0.98
-0.12,-9.83,-0.91,0.85,-12.24,-1.22
-0.03,-9.85,-0.84,0.75,-10.91,-1.13
-0.07,-9.85,-0.83,0.93,-10.01,-1.06
-0.03,-9.78,-0.82,0.95,-9.02,-1.09
0.13,-9.82,-0.72,0.85,-8.11,-1.11
-0.03,-9.81,-0.74,0.92,-8.11,-1.08
-0.03,-9.84,-0.81,0.84,-8.29,-1.12
-0.14,-9.89,-0.78,0.95,-7.90,-1.03
0.14,-9.87,-0.62,0.99,-7.29,-1.20
-0.01,-9.86,-0.72,0.93,-7.05,-1.22
-0.06,-9.80,-0.62,0.83,-9.26,-1.04
-0.04,-9.86,-0.69,0.89,-11.59,-0.98
-0.03,-9.86,-0.87,0.73,-12.56,-1.17
-0.14,-9.86,-0.81,0.90,-12.15,-1.13
0.02,-9.86,-0.84,0.76,-11.12,-1.12
0.14,-9.96,-0.85,0.69,-10.50,-1.18
-0.15,-9.83,-0.83,0.89,-9.51,-1.21
-0.29,-9.79,-0.87,0.96,-8.66,-1.28
0.23,-10.04,-0.75,3.38,9.33,-1.35
0.01,-9.67,-0.81,0.61,5.46,-1.35
-0.11,-9.79,-0.56,0.25,-2.11,-1.36
0.83,-10.03,-3.66,5.67,-1.95,-1.15
-0.38,-9.86,-0.01,2.24,1.11,-1.04
0.05,-9.87,-0.95,0.98,-3.06,-1.22
-0.19,-9.77,-1.93,1.18,5.26,-1.37
0.00,-9.94,-0.66,1.08,-0.68,-1.28
0.20,-9.86,-1.02,1.22,2.66,-1.22
-0.14,-9.83,-0.60,1.53,-0.75,-1.18
0.31,-9.89,-0.83,0.82,2.50,-1.13
-0.02,-9.82,-0.36,1.17,-1.19,-1.17
0.12,-9.96,-0.86,1.03,3.12,-1.39
-0.07,-9.85,-0.68,1.30,-1.76,-1.15
-0.14,-9.84,-0.69,1.21,2.58,-1.24
-0.02,-9.67,-1.22,1.54,-0.92,-1.11
-0.09,-9.82,-0.58,1.25,1.34,-1.23
0.05,-9.88,-1.09,1.20,0.72,-1.18
-0.11,-9.81,-0.48,1.33,-0.31,-1.21
